"Postal code area","X coordinate in metres","Y coordinate in metres"
"13300  Käikälä (Hämeenlinna)",367051,6761433
"13330  Harviala (Janakkala)",371371,6762262
"13430  Hattelmala (Hämeenlinna)",364124,6759880
"13500  Jukola (Hämeenlinna)",355916,6762194
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",360105,6764390
"13600  Ojoinen (Hämeenlinna)",361254,6767691
"13700  Parolannummi (Hattula)",356386,6769036
"13720  Parola (Hattula)",355098,6774350
"13800  Katinala (Hattula)",357473,6786493
"13880  Rahkoila (Hattula)",361561,6776694
"13900  Pekola (Hattula)",364870,6771093
"14140  Jokimaa (Janakkala)",385557,6750297
"14200  Turenki (Janakkala)",378656,6757771
"14240  Väli-Janakkala (Janakkala)",365760,6753294
"14300  Renko kk (Hämeenlinna)",350244,6750044
"14430  Vuohiniemi (Hattula)",344802,6760752
"14450  Rimmilä (Hämeenlinna)",339153,6764655
"14500  Iittala (Hämeenlinna)",340666,6772181
"14530  Leteensuo (Hattula)",350212,6773505
"14610  Lepaa (Hattula)",361147,6779511
"14620  Tyrväntö (Hattula)",356071,6782443
"14680  Alvettula (Hämeenlinna)",361077,6788493
"14690  Torvoila (Hämeenlinna)",367930,6794573
"14700  Hauho kk (Hämeenlinna)",372061,6784628
"14770  Eteläinen (Hämeenlinna)",372997,6772408
"14810  Pohjoinen (Hämeenlinna)",385367,6776847
"14820  Syrjäntaka (Hämeenlinna)",381200,6773528
"14840  Sairiala (Hämeenlinna)",381329,6780725
"14870  Juttila (Hämeenlinna)",381062,6787222
"14930  Sappee (Hämeenlinna)",376750,6793527
"14960  Puutikkala (Pälkäne)",375602,6798859
"14980  Kuohijoki (Pälkäne)",382037,6799977
"15100  Lahti Asemanseutu (Lahti)",427337,6760631
"15110  Keski-Lahti (Lahti)",426556,6761896
"15140  Kartano-Paavola (Lahti)",427054,6762928
"15150  Möysä (Lahti)",430879,6757987
"15160  Kolava (Lahti)",433112,6759891
"15170  Tenava-Tonttila (Lahti)",430507,6761865
"15200  Kiveriö (Lahti)",429162,6762551
"15210  Kivistönmäki (Lahti)",428010,6763883
"15230  Kytölä (Lahti)",432216,6768967
"15240  Mukkula (Lahti)",426953,6765804
"15270  Kukkila (Hollola)",426281,6768658
"15300  Myllypohja-Koiskala (Lahti)",432633,6762418
"15320  Ahtiala (Lahti)",434923,6763223
"15340  Kunnas-Hiekkanummi (Lahti)",436549,6765150
"15460  Mäkelä (Lahti)",438705,6769594
"15500  Liipola (Lahti)",428001,6759372
"15520  Saksala (Lahti)",429138,6759519
"15540  Villähde (Lahti)",436066,6755696
"15550  Rakokivi (Lahti)",444342,6756326
"15560  Nastola kk (Lahti)",443405,6760792
"15580  Ruuhijärvi (Lahti)",445657,6768456
"15610  Laune-Nikkilä (Lahti)",427644,6758266
"15680  Renkomäki-Ämmälä (Lahti)",428662,6755063
"15700  Hennala-Jokimaa (Hollola)",423240,6753422
"15800  Kärpänen (Lahti)",424906,6760958
"15810  Kasakkamäki (Lahti)",423143,6760445
"15820  Okeroinen (Hollola)",421377,6758130
"15830  Metsäkangas (Lahti)",423611,6761516
"15840  Riihelä (Lahti)",422275,6761519
"15850  Likolampi (Lahti)",422473,6763061
"15860  Kartano (Hollola)",420523,6761357
"15870  Salpakangas (Hollola)",419686,6762697
"15880  Soramäki (Hollola)",415309,6762168
"15900  Jalkaranta (Lahti)",425408,6762827
"15950  Kiikkula (Lahti)",423902,6764388
"15980  Messilä (Hollola)",421771,6765414
"16100  Uusikylä (Lahti)",449435,6757000
"16160  Okkeri (Lahti)",450015,6764978
"16200  Artjärvi Keskus (Orimattila)",447484,6737741
"16230  Artjärvi Kirkonkylä (Orimattila)",452668,6731459
"16260  Hietana (Orimattila)",452706,6740389
"16270  Villikkala (Orimattila)",444546,6739852
"16280  Kuivanto (Orimattila)",446784,6748269
"16300  Orimattila Keskus (Orimattila)",428321,6741313
"16310  Virenoja (Orimattila)",430058,6748037
"16320  Pennala (Orimattila)",429225,6751049
"16330  Heinämaa (Orimattila)",437715,6748832
"16350  Niinikoski (Orimattila)",439931,6738353
"16390  Pakaa (Orimattila)",433676,6733038
"16450  Mallusjoki (Orimattila)",424486,6731030
"16500  Herrala (Hollola)",414672,6751559
"16510  Luhtikylä (Orimattila)",416629,6745266
"16540  Mertie (Kärkölä)",412246,6742499
"16600  Järvelä (Kärkölä)",407352,6745126
"16610  Kärkölä kk (Kärkölä)",404033,6756670
"16630  Tennilä (Hollola)",410377,6757602
"16670  Lappila (Kärkölä)",400238,6745346
"16710  Hollola kk (Hollola)",413800,6769938
"16730  Kutajärvi (Hollola)",419431,6770750
"16790  Manskivi (Hollola)",411232,6774043
"16800  Hämeenkoski (Hollola)",400791,6764478
"16900  Lammi kk (Hämeenlinna)",392967,6770084
"16960  Iso-Evo (Hämeenlinna)",394771,6783132
"16970  Evo (Hämeenlinna)",400366,6787890
"17110  Sipilä (Hollola)",428806,6770978
"17120  Paimela (Hollola)",427331,6774738
"17130  Vesivehmaa (Asikkala)",427046,6778787
"17150  Urajärvi (Asikkala)",436315,6779642
"17200  Vääksy Keskus (Asikkala)",422605,6784118
"17220  Pietilä (Asikkala)",431287,6788511
"17240  Kalkkinen (Asikkala)",429693,6797854
"17320  Asikkala (Asikkala)",420419,6792648
"17410  Viitaila (Asikkala)",412200,6779079
